siRNA,mRNA,efficacy
Huesken_A780,NM_003345,0.81
Huesken_A781,NM_003345,0.892
Huesken_A782,NM_003345,0.75
Huesken_A783,NM_003345,0.539
Huesken_A784,NM_003345,0.864
Huesken_A785,NM_003345,0.59
Huesken_A786,NM_003345,0.527
Huesken_A787,NM_003345,0.652
Huesken_A788,NM_003345,0.873
Huesken_A789,NM_003345,0.502
Huesken_A790,NM_003345,0.681
Huesken_A791,NM_003345,0.922
Huesken_A792,NM_003345,0.732
Huesken_A793,NM_003345,0.825
Huesken_A794,NM_003345,0.78
Huesken_A795,NM_003345,0.524
Huesken_A796,NM_003345,0.721
Huesken_A797,NM_003345,0.893
Huesken_A798,NM_003345,0.631
Huesken_A799,NM_003345,0.456
Huesken_A800,NM_003345,0.531
Huesken_A801,NM_003345,0.549
Huesken_A802,NM_003345,0.839
Huesken_A803,NM_003345,0.726
Huesken_A804,NM_003345,0.722
Huesken_A805,NM_003345,0.588
Huesken_A806,NM_003345,0.345
Huesken_A807,NM_003345,0.782
Huesken_A808,NM_003345,0.844
Huesken_A809,NM_003345,0.818
Huesken_A810,NM_003345,0.55
Huesken_A811,NM_003345,0.488
Huesken_A812,NM_003345,0.516
Huesken_A813,NM_003345,0.569
Huesken_A814,NM_003345,0.854
Huesken_A815,NM_003345,0.798
Huesken_A816,NM_014501,0.824
Huesken_A817,NM_014501,0.713
Huesken_A818,NM_014501,0.572
Huesken_A819,NM_014501,0.457
Huesken_A820,NM_014501,0.428
Huesken_A821,NM_014501,0.45
Huesken_A822,NM_014501,0.44
Huesken_A823,NM_014501,0.494
Huesken_A824,NM_014501,0.585
Huesken_A825,NM_014501,0.579
Huesken_A826,NM_014501,0.43
Huesken_A827,NM_014501,0.415
Huesken_A828,NM_014501,0.43
Huesken_A829,NM_014501,0.364
Huesken_A830,NM_014501,0.491
Huesken_A831,NM_014501,0.42
Huesken_A832,NM_014501,0.548
Huesken_A833,NM_014501,0.701
Huesken_A834,NM_014501,0.55
Huesken_A835,NM_014501,0.47
Huesken_A836,NM_014501,0.498
Huesken_A837,NM_014501,0.534
Huesken_A838,NM_014501,0.567
Huesken_A839,NM_014501,0.4
Huesken_A840,NM_014501,0.563
Huesken_A841,NM_014501,0.778
Huesken_A842,NM_014501,0.707
Huesken_A843,NM_014501,0.76
Huesken_A844,NM_014501,0.694
Huesken_A845,NM_014501,0.443
Huesken_A846,NM_014501,0.485
Huesken_A847,NM_014501,0.715
Huesken_A848,NM_014501,0.706
Huesken_A849,NM_014501,0.395
Huesken_A850,NM_014501,0.394
Huesken_A851,NM_014501,0.557
Huesken_A852,NM_014501,0.635
Huesken_A853,NM_014501,0.593
Huesken_A854,NM_014501,0.855
Huesken_A855,NM_014501,0.523
Huesken_A856,NM_014501,0.631
Huesken_A857,NM_014501,0.745
Huesken_A858,NM_014501,0.678
Huesken_A859,NM_014501,0.856
Huesken_A860,NM_014501,0.544
Huesken_A861,NM_014501,0.449
Huesken_A862,NM_014501,0.316
Huesken_A863,NM_014501,0.604
Huesken_A864,NM_014501,0.917
Huesken_A865,NM_014501,0.815
Huesken_A866,NM_014501,0.547
Huesken_A867,NM_014501,0.489
Huesken_A868,NM_014501,0.463
Huesken_A869,NM_014501,0.552
Huesken_A870,NM_014501,0.404
Huesken_A871,NM_014501,0.539
Huesken_A872,NM_014501,0.54
Huesken_A873,NM_014501,0.423
Huesken_A874,NM_014501,0.585
Huesken_A875,NM_014501,0.499
Huesken_A876,NM_014501,0.365
Huesken_A877,NM_014501,0.252
Huesken_A878,NM_014501,0.465
Huesken_A879,NM_014501,0.446
Huesken_A880,NM_014501,0.359
Huesken_A881,NM_014501,0.451
Huesken_A882,NM_014501,0.54
Huesken_A883,NM_014501,0.357
Huesken_A884,NM_014501,0.416
Huesken_A885,NM_014501,0.339
Huesken_A886,NM_014501,0.53
Huesken_A887,NM_014501,0.573
Huesken_A888,NM_014501,0.565
Huesken_A889,NM_014501,0.664
Huesken_A890,NM_014501,0.472
Huesken_A891,NM_014501,0.617
Huesken_A892,NM_014501,0.515
Huesken_A893,NM_014501,0.436
Huesken_A894,NM_014501,0.887
Huesken_A895,NM_004223,0.611
Huesken_A896,NM_004223,0.553
Huesken_A897,NM_004223,0.626
Huesken_A898,NM_004223,0.599
Huesken_A899,NM_004223,0.516
Huesken_A900,NM_004223,0.577
Huesken_A901,NM_004223,1.0
Huesken_A902,NM_004223,0.978
Huesken_A903,NM_004223,0.854
Huesken_A904,NM_004223,0.548
Huesken_A905,NM_004223,0.796
Huesken_A906,NM_004223,0.586
Huesken_A907,NM_004223,0.438
Huesken_A908,NM_004223,0.805
Huesken_A909,NM_004223,0.716
Huesken_A910,NM_004223,0.818
Huesken_A911,NM_004223,0.597
Huesken_A912,NM_004223,0.559
Huesken_A913,NM_004223,0.601
Huesken_A914,NM_004223,0.5
Huesken_A915,NM_004223,0.899
Huesken_A916,NM_004223,0.59
Huesken_A917,NM_004223,0.691
Huesken_A918,NM_004223,0.482
Huesken_A919,NM_004223,0.742
Huesken_A920,NM_004223,0.318
Huesken_A921,NM_004223,0.896
Huesken_A922,NM_004223,0.777
Huesken_A923,NM_004223,0.778
Huesken_A924,NM_004223,0.749
Huesken_A925,NM_004223,0.829
Huesken_A926,NM_004223,0.657
Huesken_A927,NM_004223,0.613
Huesken_A928,NM_004223,0.74
Huesken_A929,NM_004223,0.713
Huesken_A930,NM_004223,0.676
Huesken_A931,NM_004223,0.649
Huesken_A932,NM_004223,0.374
Huesken_A933,NM_004223,0.53
Huesken_A934,NM_004223,0.908
Huesken_A935,NM_004223,0.436
Huesken_A936,NM_004223,0.458
Huesken_A937,NM_004223,0.51
Huesken_A938,NM_004223,0.859
Huesken_A939,NM_004223,0.952
Huesken_A940,NM_004223,0.867
Huesken_A941,NM_004223,0.712
Huesken_A942,NM_004223,0.537
Huesken_A943,NM_004223,0.846
Huesken_A944,NM_004223,0.43
Huesken_A945,NM_004223,0.381
Huesken_A946,NM_004223,0.523
Huesken_A947,NM_004223,0.709
Huesken_A948,NM_004223,0.516
Huesken_A949,NM_004223,0.698
Huesken_A950,NM_004223,0.64
Huesken_A951,NM_004223,0.556
Huesken_A952,NM_004223,0.635
Huesken_A953,NM_004223,0.495
Huesken_A954,NM_004223,0.799
Huesken_A955,NM_004223,0.737
Huesken_A956,NM_004223,0.625
Huesken_A957,NM_004223,0.969
Huesken_A958,NM_004223,0.895
Huesken_A959,NM_004223,0.742
Huesken_A960,NM_004223,0.971
Huesken_A961,NM_004223,1.0
Huesken_A962,NM_004223,0.873
Huesken_A963,NM_004223,0.776
Huesken_A964,NM_004223,0.761
Huesken_A965,NM_004223,0.738
Huesken_A966,NM_004223,0.883
Huesken_A967,NM_016406,0.691
Huesken_A968,NM_016406,0.93
Huesken_A969,NM_016406,0.863
Huesken_A970,NM_016406,1.0
Huesken_A971,NM_016406,0.732
Huesken_A972,NM_016406,0.81
Huesken_A973,NM_016406,0.714
Huesken_A974,NM_016406,0.485
Huesken_A975,NM_016406,0.352
Huesken_A976,NM_016406,0.605
Huesken_A977,NM_016406,0.699
Huesken_A978,NM_016406,0.538
Huesken_A979,NM_016406,0.538
Huesken_A980,NM_016406,0.617
Huesken_A981,NM_016406,0.679
Huesken_A982,NM_016406,0.772
Huesken_A983,NM_016406,0.569
Huesken_A984,NM_016406,0.988
Huesken_A985,NM_016406,1.0
Huesken_A986,NM_016406,1.0
Huesken_A987,NM_016406,0.657
Huesken_A988,NM_016406,1.0
Huesken_A989,NM_016406,0.999
Huesken_A990,NM_016406,0.623
Huesken_A991,NM_016406,1.0
Huesken_A992,NM_016406,0.501
Huesken_A993,NM_016406,1.0
Huesken_A994,NM_016406,0.699
Huesken_A995,NM_016406,1.0
Huesken_A996,NM_016406,1.0
Huesken_A997,NM_016406,0.801
Huesken_A998,NM_016406,0.616
Huesken_A999,NM_016406,0.617
Huesken_A1000,NM_016406,0.449
Huesken_A1001,NM_016406,0.522
Huesken_A1002,NM_016406,0.782
Huesken_A1003,NM_016406,0.692
Huesken_A1004,NM_016406,1.0
Huesken_A1005,NM_016406,0.957
Huesken_A1006,NM_016406,1.0
Huesken_A1007,NM_016406,0.669
Huesken_A1008,NM_016406,0.753
Huesken_A1009,NM_016406,0.435
Huesken_A1010,NM_016406,0.96
Huesken_A1011,NM_016406,0.314
Huesken_A1012,NM_016406,0.568
Huesken_A1013,NM_016406,0.977
Huesken_A1014,NM_016406,0.322
Huesken_A1015,NM_016406,0.618
Huesken_A1016,NM_016406,0.835
Huesken_A1017,NM_016406,0.663
Huesken_A1018,NM_016406,0.719
Huesken_A1019,NM_016406,0.761
Huesken_A1020,NM_016406,0.78
Huesken_A1021,NM_016406,0.433
Huesken_A1022,NM_016406,0.864
Huesken_A1023,NM_016406,0.689
Huesken_A1024,NM_016406,0.723
Huesken_A1025,NM_016406,0.784
Huesken_A1026,NM_016406,0.746
Huesken_A1027,NM_016406,0.788
Huesken_A1028,NM_016406,0.889
Huesken_A1029,NM_016406,0.991
Huesken_A1030,NM_016406,0.752
Huesken_A1031,NM_016406,1.0
Huesken_A1032,NM_016406,0.931
Huesken_A1033,NM_016406,1.0
Huesken_A1034,NM_016406,0.859
Huesken_A1035,NM_016406,0.804
Huesken_A1036,NM_016406,0.566
Huesken_A1037,NM_014176,1.0
Huesken_A1038,NM_014176,1.0
Huesken_A1039,NM_014176,0.919
Huesken_A1040,NM_014176,0.655
Huesken_A1041,NM_014176,0.83
Huesken_A1042,NM_014176,1.0
Huesken_A1043,NM_014176,0.803
Huesken_A1044,NM_014176,0.635
Huesken_A1045,NM_014176,0.97
Huesken_A1046,NM_014176,1.0
Huesken_A1047,NM_014176,0.994
Huesken_A1048,NM_014176,0.859
Huesken_A1049,NM_014176,1.0
Huesken_A1050,NM_014176,0.916
Huesken_A1051,NM_014176,0.951
Huesken_A1052,NM_014176,0.738
Huesken_A1053,NM_014176,0.971
Huesken_A1054,NM_014176,0.775
Huesken_A1055,NM_014176,0.95
Huesken_A1056,NM_014176,0.76
Huesken_A1057,NM_014176,0.859
Huesken_A1058,NM_014176,1.0
Huesken_A1059,NM_014176,0.756
Huesken_A1060,NM_014176,0.835
Huesken_A1061,NM_014176,0.912
Huesken_A1062,NM_014176,1.0
Huesken_A1063,NM_014176,0.527
Huesken_A1064,NM_014176,1.0
Huesken_A1065,NM_014176,0.794
Huesken_A1066,NM_014176,0.492
Huesken_A1067,NM_014176,1.0
Huesken_A1068,NM_014176,0.848
Huesken_A1069,NM_014176,1.0
Huesken_A1070,NM_014176,1.0
Huesken_A1071,NM_014176,0.804
Huesken_A1072,NM_014176,0.656
Huesken_A1073,NM_014176,0.605
Huesken_A1074,NM_014176,0.849
Huesken_A1075,NM_014176,0.438
Huesken_A1076,NM_014176,0.685
Huesken_A1077,NM_014176,0.533
Huesken_A1078,NM_014176,0.719
Huesken_A1079,NM_014176,0.808
Huesken_A1080,NM_014176,0.75
Huesken_A1081,NM_014176,0.799
Huesken_A1082,NM_014176,0.961
Huesken_A1083,NM_014176,0.878
Huesken_A1084,NM_014176,0.954
Huesken_A1085,NM_014176,0.674
Huesken_A1086,NM_014176,1.0
Huesken_A1087,NM_014176,1.0
Huesken_A1088,NM_014176,0.568
Huesken_A1089,NM_014176,1.0
Huesken_A1090,NM_014176,1.0
Huesken_A1091,NM_014176,1.0
Huesken_A1092,NM_014176,1.0
Huesken_A1093,NM_014176,0.565
Huesken_A1094,NM_014176,0.631
Huesken_A1095,NM_014176,0.874
Huesken_A1096,NM_014176,0.785
Huesken_A1097,NM_014176,1.0
Huesken_A1098,NM_014176,0.754
Huesken_A1099,NM_014176,0.794
Huesken_A1100,NM_014176,0.899
Huesken_A1101,NM_014176,0.925
Huesken_A1102,NM_014176,0.747
Huesken_A1103,NM_014176,0.574
Huesken_A1104,NM_014176,0.871
Huesken_A1105,NM_014176,0.9
Huesken_A1106,NM_014176,0.716
Huesken_A1107,NM_014176,1.0
Huesken_A1108,NM_014176,1.0
Huesken_A1109,NM_014176,0.953
Huesken_A1110,NM_014176,0.632
Huesken_A1111,NM_014176,0.758
Huesken_A1112,NM_014176,0.873
Huesken_A1113,NM_014176,0.908
Huesken_A1114,NM_001001481,1.0
Huesken_A1115,NM_001001481,1.0
Huesken_A1116,NM_001001481,1.0
Huesken_A1117,NM_001001481,1.0
Huesken_A1118,NM_001001481,1.0
Huesken_A1119,NM_001001481,0.887
Huesken_A1120,NM_001001481,0.967
Huesken_A1121,NM_001001481,0.964
Huesken_A1122,NM_001001481,0.827
Huesken_A1123,NM_001001481,1.0
Huesken_A1124,NM_001001481,1.0
Huesken_A1125,NM_001001481,1.0
Huesken_A1126,NM_001001481,1.0
Huesken_A1127,NM_001001481,0.675
Huesken_A1128,NM_001001481,0.932
Huesken_A1129,NM_001001481,0.848
Huesken_A1130,NM_001001481,1.0
Huesken_A1131,NM_001001481,1.0
Huesken_A1132,NM_001001481,0.85
Huesken_A1133,NM_001001481,1.0
Huesken_A1134,NM_001001481,1.0
Huesken_A1135,NM_001001481,0.931
Huesken_A1136,NM_001001481,0.805
Huesken_A1137,NM_001001481,0.884
Huesken_A1138,NM_001001481,0.647
Huesken_A1139,NM_001001481,0.733
Huesken_A1140,NM_001001481,0.641
Huesken_A1141,NM_001001481,0.839
Huesken_A1142,NM_001001481,0.662
Huesken_A1143,NM_001001481,0.966
Huesken_A1144,NM_001001481,0.859
Huesken_A1145,NM_001001481,0.962
Huesken_A1146,NM_001001481,1.0
Huesken_A1147,NM_001001481,0.788
Huesken_A1148,NM_001001481,1.0
Huesken_A1149,NM_001001481,1.0
Huesken_A1150,NM_001001481,1.0
Huesken_A1151,NM_001001481,0.73
Huesken_A1152,NM_001001481,1.0
Huesken_A1153,NM_001001481,0.535
Huesken_A1154,NM_001001481,0.82
Huesken_A1155,NM_001001481,1.0
Huesken_A1156,NM_001001481,1.0
Huesken_A1157,NM_001001481,0.944
Huesken_A1158,NM_001001481,0.912
Huesken_A1159,NM_001001481,1.0
Huesken_A1160,NM_001001481,0.95
Huesken_A1161,NM_001001481,0.784
Huesken_A1162,NM_001001481,0.857
Huesken_A1163,NM_001001481,0.747
Huesken_A1164,NM_001001481,0.814
Huesken_A1165,NM_001001481,1.0
Huesken_A1166,NM_001001481,0.799
Huesken_A1167,NM_001001481,0.88
Huesken_A1168,NM_001001481,0.835
Huesken_A1169,NM_001001481,0.961
Huesken_A1170,NM_001001481,0.975
Huesken_A1171,NM_001001481,1.0
Huesken_A1172,NM_001001481,0.78
Huesken_A1173,NM_001001481,0.932
Huesken_A1174,NM_001001481,0.861
Huesken_A1175,NM_001001481,0.949
Huesken_A1176,NM_001001481,0.389
Huesken_A1177,NM_001001481,1.0
Huesken_A1178,NM_001001481,1.0
Huesken_A1179,NM_001001481,0.993
Huesken_A1180,NM_001001481,0.926
Huesken_A1181,NM_001001481,1.0
Huesken_A1182,NM_001001481,0.768
Huesken_A1183,NM_001001481,0.736
Huesken_A1184,NM_001001481,1.0
Huesken_A1185,NM_001001481,1.0
Huesken_A1186,NM_001001481,1.0
Huesken_A1187,NM_001001481,0.75
Huesken_A1188,NM_001001481,0.689
Huesken_A1189,NM_001001481,0.964
Huesken_A1190,NM_001001481,1.0
Huesken_A1191,NM_001001481,0.993
Huesken_A1192,NM_016021,1.0
Huesken_A1193,NM_016021,0.916
Huesken_A1194,NM_016021,0.959
Huesken_A1195,NM_016021,0.988
Huesken_A1196,NM_016021,0.764
Huesken_A1197,NM_016021,0.624
Huesken_A1198,NM_016021,0.834
Huesken_A1199,NM_016021,0.558
Huesken_A1200,NM_016021,0.76
Huesken_A1201,NM_016021,0.731
Huesken_A1202,NM_016021,0.788
Huesken_A1203,NM_016021,0.474
Huesken_A1204,NM_016021,0.353
Huesken_A1205,NM_016021,0.785
Huesken_A1206,NM_016021,0.479
Huesken_A1207,NM_016021,0.562
Huesken_A1208,NM_016021,0.751
Huesken_A1209,NM_016021,0.476
Huesken_A1210,NM_016021,0.675
Huesken_A1211,NM_016021,0.887
Huesken_A1212,NM_016021,0.753
Huesken_A1213,NM_016021,0.796
Huesken_A1214,NM_016021,0.605
Huesken_A1215,NM_016021,0.544
Huesken_A1216,NM_016021,0.56
Huesken_A1217,NM_016021,0.567
Huesken_A1218,NM_016021,0.731
Huesken_A1219,NM_016021,0.504
Huesken_A1220,NM_016021,0.705
Huesken_A1221,NM_016021,0.552
Huesken_A1222,NM_016021,0.707
Huesken_A1223,NM_016021,0.61
Huesken_A1224,NM_016021,0.417
Huesken_A1225,NM_016021,0.287
Huesken_A1226,NM_016021,0.547
Huesken_A1227,NM_016021,0.748
Huesken_A1228,NM_016021,0.914
Huesken_A1229,NM_016021,0.647
Huesken_A1230,NM_016021,0.641
Huesken_A1231,NM_016021,0.726
Huesken_A1232,NM_016021,0.56
Huesken_A1233,NM_016021,0.563
Huesken_A1234,NM_016021,0.463
Huesken_A1235,NM_016021,0.84
Huesken_A1236,NM_016021,0.681
Huesken_A1237,NM_016021,0.536
Huesken_A1238,NM_016021,0.518
Huesken_A1239,NM_016021,0.48
Huesken_A1240,NM_016021,0.552
Huesken_A1241,NM_005339,0.646
Huesken_A1242,NM_005339,0.766
Huesken_A1243,NM_005339,0.927
Huesken_A1244,NM_005339,0.738
Huesken_A1245,NM_005339,0.661
Huesken_A1246,NM_005339,0.739
Huesken_A1247,NM_005339,0.701
Huesken_A1248,NM_005339,0.778
Huesken_A1249,NM_005339,0.879
Huesken_A1250,NM_005339,0.921
Huesken_A1251,NM_005339,0.874
Huesken_A1252,NM_005339,0.655
Huesken_A1253,NM_005339,0.921
Huesken_A1254,NM_005339,0.93
Huesken_A1255,NM_005339,0.899
Huesken_A1256,NM_005339,0.676
Huesken_A1257,NM_005339,0.68
Huesken_A1258,NM_005339,0.667
Huesken_A1259,NM_005339,0.749
Huesken_A1260,NM_005339,0.825
Huesken_A1261,NM_005339,0.818
Huesken_A1262,NM_005339,0.85
Huesken_A1263,NM_005339,0.62
Huesken_A1264,NM_005339,0.854
Huesken_A1265,NM_005339,0.892
Huesken_A1266,NM_005339,0.633
Huesken_A1267,NM_005339,0.857
Huesken_A1268,NM_005339,0.871
Huesken_A1269,NM_005339,0.474
Huesken_A1270,NM_005339,0.576
Huesken_A1271,NM_005339,0.442
Huesken_A1272,NM_005339,0.484
Huesken_A1273,NM_005339,0.573
Huesken_A1274,NM_005339,0.792
Huesken_A1275,NM_005339,0.871
Huesken_A1276,NM_005339,0.587
Huesken_A1277,NM_005339,0.789
Huesken_A1278,NM_005339,0.812
Huesken_A1279,NM_005339,0.71
Huesken_A1280,NM_005339,0.555
Huesken_A1281,NM_005339,0.749
Huesken_A1282,NM_005339,0.532
Huesken_A1283,NM_005339,0.616
Huesken_A1284,NM_005339,0.673
Huesken_A1285,NM_005339,0.76
Huesken_A1286,NM_005339,0.812
Huesken_A1287,NM_005339,0.897
Huesken_A1288,NM_005339,0.73
Huesken_A1289,NM_005339,0.723
Huesken_A1290,NM_005339,0.724
Huesken_A1291,NM_005339,0.763
Huesken_A1292,NM_005339,0.785
Huesken_A1293,NM_005339,0.793
Huesken_A1294,NM_005339,0.754
Huesken_A1295,NM_005339,0.681
Huesken_A1296,NM_005339,0.827
Huesken_A1297,NM_005339,0.695
Huesken_A1298,NM_005339,0.642
Huesken_A1299,NM_005339,0.81
Huesken_A1300,NM_005339,0.728
Huesken_A1301,NM_005339,0.739
Huesken_A1302,NM_005339,0.669
Huesken_A1303,NM_005339,0.746
Huesken_A1304,NM_005339,0.698
Huesken_A1305,NM_005339,0.561
Huesken_A1306,NM_005339,0.654
Huesken_A1307,NM_005339,0.694
Huesken_A1308,NM_005339,0.548
Huesken_A1309,NM_005339,0.742
Huesken_A1310,NM_005339,0.476
Huesken_A1311,NM_005339,0.895
Huesken_A1312,NM_005339,0.551
Huesken_A1313,NM_005339,0.913
Huesken_A1314,NM_005339,0.844
Huesken_A1315,NM_005339,0.813
Huesken_A1316,NM_005339,0.857
Huesken_A1317,NM_005339,0.882
Huesken_A1318,NM_005339,0.889
Huesken_A1319,NM_005339,0.458
Huesken_A1320,NM_053656,0.531
Huesken_A1321,NM_053656,0.517
Huesken_A1322,NM_053656,0.52
Huesken_A1323,NM_053656,0.522
Huesken_A1324,NM_053656,0.468
Huesken_A1325,NM_053656,0.427
Huesken_A1326,NM_053656,0.674
Huesken_A1327,NM_053656,0.608
Huesken_A1328,NM_053656,0.512
Huesken_A1329,NM_053656,0.447
Huesken_A1330,NM_053656,0.464
Huesken_A1331,NM_053656,0.646
Huesken_A1332,NM_053656,0.37
Huesken_A1333,NM_053656,0.539
Huesken_A1334,NM_053656,0.671
Huesken_A1335,NM_053656,0.886
Huesken_A1336,NM_053656,0.766
Huesken_A1337,NM_053656,0.475
Huesken_A1338,NM_053656,0.385
Huesken_A1339,NM_053656,0.57
Huesken_A1340,NM_053656,0.431
Huesken_A1341,NM_053656,0.397
Huesken_A1342,NM_053656,0.726
Huesken_A1343,NM_053656,0.515
Huesken_A1344,NM_053656,0.574
Huesken_A1345,NM_053656,0.76
Huesken_A1346,NM_053656,0.647
Huesken_A1347,NM_053656,0.436
Huesken_A1348,NM_053656,0.506
Huesken_A1349,NM_053656,0.768
Huesken_A1350,NM_053656,0.567
Huesken_A1351,NM_053656,0.57
Huesken_A1352,NM_053656,0.619
Huesken_A1353,NM_053656,0.809
Huesken_A1354,NM_053656,0.386
Huesken_A1355,NM_053656,0.703
Huesken_A1356,NM_053656,0.337
Huesken_A1357,NM_053656,0.59
Huesken_A1358,NM_053656,0.617
Huesken_A1359,NM_053656,0.323
Huesken_A1360,NM_053656,0.614
Huesken_A1361,NM_053656,0.649
Huesken_A1362,NM_053656,0.813
Huesken_A1363,NM_053656,0.723
Huesken_A1364,NM_053656,0.728
Huesken_A1365,NM_053656,0.628
Huesken_A1366,NM_053656,0.537
Huesken_A1367,NM_053656,0.236
Huesken_A1368,NM_053656,0.403
Huesken_A1369,NM_053656,0.335
Huesken_A1370,NM_053656,0.484
Huesken_A1371,NM_053656,0.687
Huesken_A1372,NM_053656,0.55
Huesken_A1373,NM_053656,0.66
Huesken_A1374,NM_053656,0.644
Huesken_A1375,NM_053656,0.552
Huesken_A1376,NM_053656,0.353
Huesken_A1377,NM_053656,0.794
Huesken_A1378,NM_053656,0.423
Huesken_A1379,NM_053656,0.517
Huesken_A1380,NM_053656,0.504
Huesken_A1381,NM_053656,0.768
Huesken_A1382,NM_053656,0.785
Huesken_A1383,NM_053656,0.784
Huesken_A1384,NM_053656,0.349
Huesken_A1385,NM_053656,0.695
Huesken_A1386,NM_053656,0.646
Huesken_A1387,NM_053656,0.662
Huesken_A1388,NM_053656,0.715
Huesken_A1389,NM_053656,0.542
Huesken_A1390,NM_053656,0.495
Huesken_A1391,NM_053656,0.605
Huesken_A1392,NM_053656,0.805
Huesken_A1393,NM_053656,0.742
Huesken_A1394,NM_053656,0.852
Huesken_A1395,NM_053656,0.613
Huesken_A1396,NM_053656,0.693
Huesken_A1397,NM_003348,0.738
Huesken_A1398,NM_003348,1.0
Huesken_A1399,NM_003348,0.918
Huesken_A1400,NM_003348,0.953
Huesken_A1401,NM_003348,0.904
Huesken_A1402,NM_003348,0.602
Huesken_A1403,NM_003348,0.917
Huesken_A1404,NM_003348,0.611
Huesken_A1405,NM_003348,0.903
Huesken_A1406,NM_003348,0.841
Huesken_A1407,NM_003348,0.775
Huesken_A1408,NM_003348,0.94
Huesken_A1409,NM_003348,0.854
Huesken_A1410,NM_003348,0.78
Huesken_A1411,NM_003348,0.439
Huesken_A1412,NM_003348,0.402
Huesken_A1413,NM_003348,0.432
Huesken_A1414,NM_003348,0.642
Huesken_A1415,NM_003348,0.498
Huesken_A1416,NM_003348,0.342
Huesken_A1417,NM_003348,0.302
Huesken_A1418,NM_003348,0.779
Huesken_A1419,NM_003348,0.613
Huesken_A1420,NM_003348,0.702
Huesken_A1421,NM_003348,0.859
Huesken_A1422,NM_003348,0.784
Huesken_A1423,NM_003348,0.587
Huesken_A1424,NM_003348,0.635
Huesken_A1425,NM_003348,0.542
Huesken_A1426,NM_003348,0.863
Huesken_A1427,NM_003348,0.622
Huesken_A1428,NM_003348,0.594
Huesken_A1429,NM_003348,0.482
Huesken_A1430,NM_003348,0.345
Huesken_A1431,NM_003348,0.355
Huesken_A1432,NM_003348,0.571
Huesken_A1433,NM_003348,0.806
Huesken_A1434,NM_003348,0.856
Huesken_A1435,NM_003348,0.759
Huesken_A1436,NM_003348,0.528
Huesken_A1437,NM_003348,0.94
Huesken_A1438,NM_003348,0.938
Huesken_A1439,NM_003348,0.694
Huesken_A1440,NM_003348,0.464
Huesken_A1441,NM_003348,0.492
Huesken_A1442,NM_003348,0.816
Huesken_A1443,NM_003348,1.0
Huesken_A1444,NM_003348,0.921
Huesken_A1445,NM_003348,0.795
Huesken_A1446,NM_003348,0.64
Huesken_A1447,NM_003348,0.447
Huesken_A1448,NM_003348,0.369
Huesken_A1449,NM_003348,0.83
Huesken_A1450,NM_003348,0.875
Huesken_A1451,NM_003348,0.848
Huesken_A1452,NM_003348,0.961
Huesken_A1453,NM_003348,0.436
Huesken_A1454,NM_003348,0.299
Huesken_A1455,NM_003348,0.872
Huesken_A1456,NM_003348,0.706
Huesken_A1457,NM_003348,0.502
Huesken_A1458,NM_003348,0.541
Huesken_A1459,NM_003348,0.471
Huesken_A1460,NM_003348,0.506
Huesken_A1461,NM_003348,0.395
Huesken_A1462,NM_003348,0.398
Huesken_A1463,NM_003348,0.471
Huesken_A1464,NM_003348,0.624
Huesken_A1465,NM_003348,0.871
Huesken_A1466,NM_003348,0.658
Huesken_A1467,NM_003348,0.826
Huesken_A1468,NM_003348,0.883
Huesken_A1469,NM_003348,0.847
Huesken_A1470,NM_003348,0.816
Huesken_A1471,NM_003348,0.782
Huesken_A1472,NM_003348,0.614
Huesken_A1473,NM_003348,0.974
Huesken_A1474,NM_003348,0.36
Huesken_A1475,NM_003348,0.607
Huesken_A1476,NM_003342,0.943
Huesken_A1477,NM_003342,0.79
Huesken_A1478,NM_003342,0.939
Huesken_A1479,NM_003342,0.435
Huesken_A1480,NM_003342,0.564
Huesken_A1481,NM_003342,0.742
Huesken_A1482,NM_003342,1.0
Huesken_A1483,NM_003342,0.859
Huesken_A1484,NM_003342,0.727
Huesken_A1485,NM_003342,0.638
Huesken_A1486,NM_003342,0.344
Huesken_A1487,NM_003342,1.0
Huesken_A1488,NM_003342,0.935
Huesken_A1489,NM_003342,0.975
Huesken_A1490,NM_003342,0.939
Huesken_A1491,NM_003342,0.811
Huesken_A1492,NM_003342,0.719
Huesken_A1493,NM_003342,0.898
Huesken_A1494,NM_003342,0.61
Huesken_A1495,NM_003342,0.476
Huesken_A1496,NM_003342,0.54
Huesken_A1497,NM_003342,0.785
Huesken_A1498,NM_003342,0.654
Huesken_A1499,NM_003342,0.669
Huesken_A1500,NM_003342,0.544
Huesken_A1501,NM_003342,0.893
Huesken_A1502,NM_003342,0.861
Huesken_A1503,NM_003342,0.853
Huesken_A1504,NM_003342,0.412
Huesken_A1505,NM_003342,0.621
Huesken_A1506,NM_003342,0.629
Huesken_A1507,NM_003342,0.64
Huesken_A1508,NM_003342,0.425
Huesken_A1509,NM_003342,0.378
Huesken_A1510,NM_003342,0.359
Huesken_A1511,NM_003342,0.326
Huesken_A1512,NM_003342,0.359
Huesken_A1513,NM_003342,0.493
Huesken_A1514,NM_003342,0.392
Huesken_A1515,NM_003342,0.318
Huesken_A1516,NM_003342,0.693
Huesken_A1517,NM_003342,0.877
Huesken_A1518,NM_003342,0.55
Huesken_A1519,NM_003342,0.786
Huesken_A1520,NM_003342,0.76
Huesken_A1521,NM_003342,0.764
Huesken_A1522,NM_003342,0.295
